model_family,split,rmse,mae,r2,n,seed
Context-Aware Selective Learning,val,1.3678556716865502,0.9112676978111267,0.19304096698760986,1703,67
Site-Hard Expert Selector,val,1.3705177075182553,0.9132061004638672,0.18989694118499756,1703,67
Deep Context LSTM (Always TL),val,1.3727241234453285,0.9183207154273987,0.18728643655776978,1703,67
Random Forest,val,1.4038637839230492,0.9479367066410705,0.14999617132238252,1703,67
Baseline LSTM (No TL),val,1.529143305018838,1.0697479248046875,-0.008480072021484375,1703,67
Baseline LSTM (TL),val,1.5297189181318902,1.0695550441741943,-0.009239435195922852,1703,67
Context-Aware Selective Learning,cal,1.5490953327983583,0.910027027130127,0.21067708730697632,1302,89
Site-Hard Expert Selector,cal,1.5787945073152285,0.9568370580673218,0.1801213026046753,1302,89
Deep Context LSTM (No TL),cal,1.5916145828806145,0.9676297903060913,0.1667521595954895,1302,89
Deep Context LSTM (Always TL),cal,1.5918901849089109,0.9732233881950378,0.16646349430084229,1302,89
Random Forest,cal,1.602952252613411,0.9845068872861106,0.15483879104388643,1302,89
Baseline LSTM (TL),cal,1.7515407999891093,1.1487128734588623,-0.00911092758178711,1302,89
Baseline LSTM (No TL),cal,1.766083649335845,1.1605991125106812,-0.025937557220458984,1302,89
Deep Context LSTM (Always TL),test,2.1703676989836316,1.0700525045394897,0.1572379469871521,2034,89
Context-Aware Selective Learning,test,2.206124178402804,1.119960069656372,0.12924045324325562,2034,89
Random Forest,test,2.209442957086513,1.0740708627668927,0.12661855997096838,2034,89
Site-Hard Expert Selector,test,2.2142035956910977,1.1305054426193237,0.12285083532333374,2034,89
Deep Context LSTM (No TL),test,2.2743116448266694,1.2222908735275269,0.07458126544952393,2034,89
Baseline LSTM (No TL),test,2.368972759793896,1.2412371635437012,-0.00405728816986084,2034,89
Baseline LSTM (TL),test,2.3693655336553654,1.2466342449188232,-0.004390239715576172,2034,89
Deep Context LSTM (Always TL),val,1.3467994509438375,0.902510404586792,0.21769368648529053,1703,89
Context-Aware Selective Learning,val,1.3494252853600466,0.9002960920333862,0.21464025974273682,1703,89
Site-Hard Expert Selector,val,1.3495737338846008,0.9008640050888062,0.21446740627288818,1703,89
Deep Context LSTM (No TL),val,1.3627028672964492,0.9093201160430908,0.19910919666290283,1703,89
Random Forest,val,1.4023345013378674,0.9473349082997612,0.15184704610686794,1703,89
Baseline LSTM (TL),val,1.5287707752678255,1.0684635639190674,-0.007988810539245605,1703,89
Baseline LSTM (No TL),val,1.5293826180265608,1.0699613094329834,-0.008795857429504395,1703,89
