model_family,split,rmse,mae,r2,n,budget_label,budget_windows_per_site,effective_train_windows_total,mean_train_windows_per_site,median_train_windows_per_site
Site-Hard Expert Selector,cal,1.541042003720085,0.9252610802650452,0.218862771987915,1302,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (Always TL),cal,1.5685872331657351,0.9566715955734252,0.1906884312629699,1302,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (No TL),cal,1.5744806644467486,0.9593414664268494,0.1845956444740295,1302,72,72.0,5269,51.65686274509804,64.0
Random Forest,cal,1.596618102546428,0.9724778473606172,0.1615049919148091,1302,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (TL),cal,1.7526111876605477,1.150130033493042,-0.0103447437286376,1302,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (No TL),cal,1.7646792419143094,1.1590533256530762,-0.0243065357208251,1302,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (Always TL),test,2.1032308883424413,1.0387346744537354,0.2085704207420349,2034,72,72.0,5269,51.65686274509804,64.0
Context-Aware Selective Learning,test,2.11611291845851,1.0343148708343506,0.1988459825515747,2034,72,72.0,5269,51.65686274509804,64.0
Site-Hard Expert Selector,test,2.1410959658471738,1.0376372337341309,0.179817259311676,2034,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (No TL),test,2.1474311830021424,1.0501338243484497,0.1749565005302429,2034,72,72.0,5269,51.65686274509804,64.0
Random Forest,test,2.20454948006839,1.062454516091886,0.1304830083402913,2034,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (No TL),test,2.368912575006706,1.2412718534469604,-0.0040062665939331,2034,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (TL),test,2.3696362007763008,1.247028350830078,-0.0046197175979614,2034,72,72.0,5269,51.65686274509804,64.0
Context-Aware Selective Learning,val,1.364638999599493,0.9095190167427064,0.1968317627906799,1703,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (No TL),val,1.3659720549426837,0.9096587896347046,0.1952618360519409,1703,72,72.0,5269,51.65686274509804,64.0
Site-Hard Expert Selector,val,1.368147028313949,0.912417769432068,0.1926971077919006,1703,72,72.0,5269,51.65686274509804,64.0
Deep Context LSTM (Always TL),val,1.3697242091675563,0.9164363741874696,0.1908347606658935,1703,72,72.0,5269,51.65686274509804,64.0
Random Forest,val,1.3995115903679722,0.9426610816004676,0.1552582870661739,1703,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (TL),val,1.5270391682495927,1.066776156425476,-0.0057066679000854,1703,72,72.0,5269,51.65686274509804,64.0
Baseline LSTM (No TL),val,1.5295690535451445,1.0700571537017822,-0.0090416669845581,1703,72,72.0,5269,51.65686274509804,64.0
