site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
64391,55441,0.353774,142,0.6719805,0.66397643,-0.008004069,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.66397643,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64439,90523,0.243943,132,1.1020439,1.1510022,0.0489583,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.1020439,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64473,69301,0.31071746,137,1.552629,1.6009403,0.048311353,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,1.552629,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64507,54218,0.3132504,137,0.92339194,0.9945566,0.07116467,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.92339194,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64543,36514,0.4565355,138,1.4730483,1.4568117,-0.016236663,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.4568117,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
64599,163199,0.5117547,99,0.7639788,0.8491945,0.08521575,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.7639788,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
65959,75352,0.26921096,142,1.3210859,1.239426,-0.08165991,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.239426,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
65965,36514,0.5323166,136,1.3932624,1.3756504,-0.01761198,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.3756504,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66039,36514,0.5490928,135,0.3696885,0.36681327,-0.0028752387,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.36681327,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66048,38775,0.24249774,129,1.0582018,1.0288699,-0.029331923,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.0288699,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
