site_id,well_id,gmw_bro_id,tube_number,n_gld_series,max_observations_meta,sum_observations_meta,first_date_meta,last_date_meta,lon,lat,index_right,use_obj_type,use_obj_id,facility_bro_id,distance_to_use_m,tube_rank_within_well_meta,actual_observation_rows,actual_first_date,actual_last_date,downloaded_gld_count,tube_rank_within_well_actual
31567,24659,GMW000000033152,1,2,157,165,1995-11-10,2022-09-15,4.839398139591033,52.347151196085264,8455,design_well,557607,,46.07901703098164,1,,,,0,1
31593,24684,GMW000000033177,1,2,100,113,2004-10-15,2023-01-13,4.790698689564774,52.34636757648929,2189,facility_point,GUF000000000434,GUF000000000434,13.928128803534072,1,,,,0,1
31631,24722,GMW000000033215,1,2,240,263,1978-12-19,2025-04-15,4.867362329694674,52.35161836585162,2692,facility_point,GUF000000017933,GUF000000017933,41.11059714784009,1,,,,0,1
31642,24733,GMW000000033226,1,2,115,116,2004-07-06,2021-08-23,4.8780005593634925,52.33652920577137,3384,facility_point,GUF000000070243,GUF000000070243,43.41647648014053,1,,,,0,1
31683,24773,GMW000000033266,1,2,222,240,1981-01-22,2025-02-26,4.894839849988429,52.364723095617755,6863,realised_well,510739,,45.145040936015526,1,,,,0,1
31688,24778,GMW000000033271,1,2,264,276,1975-08-27,2023-01-25,4.880030069751413,52.35409100574562,3357,facility_point,GUF000000007458,GUF000000007458,47.01128306155628,1,,,,0,1
31696,24786,GMW000000033279,1,2,163,198,1993-01-11,2025-02-28,4.869179659811094,52.356875175833856,2698,facility_point,GUF000000016329,GUF000000016329,17.72062920013056,1,,,,0,1
31792,24882,GMW000000033375,3,2,84,110,2005-12-21,2025-05-09,4.916670170269298,52.37731375543085,6581,realised_well,114836,,27.7855482741049,1,,,,0,1
31854,24941,GMW000000033434,1,2,181,205,1992-08-12,2025-03-05,4.931264860750151,52.399040115298426,6211,facility_point,GUF000000011310,GUF000000011310,43.840518255483694,1,,,,0,1
31920,25004,GMW000000033497,1,2,274,287,1973-09-04,2023-01-26,4.8994730597954845,52.355943285584125,6890,realised_well,501762,,29.804363149548486,1,,,,0,1
31933,25017,GMW000000033510,1,2,257,297,1975-02-06,2025-03-24,4.8621436393256285,52.334949995903266,6897,realised_well,109711,,11.389431266822466,1,,,,0,1
31939,25023,GMW000000033516,1,2,415,437,1963-03-14,2025-04-28,4.872678139523062,52.343804255811705,2707,facility_point,GUF000000017806,GUF000000017806,36.235617614983084,1,,,,0,1
31951,25035,GMW000000033528,1,2,30,31,2009-04-21,2021-01-19,4.886675960333536,52.380408395676625,2787,facility_point,GUF000000026092,GUF000000026092,46.51970794914083,1,,,,0,1
31988,25072,GMW000000033565,1,2,170,197,1992-01-28,2025-04-03,4.8421268605716365,52.39143742603864,2266,facility_point,GUF000000084833,GUF000000084833,34.92976844097594,1,,,,0,1
31997,25081,GMW000000033574,1,2,181,201,1989-04-28,2024-07-23,4.875822400163016,52.37275842577046,2747,facility_point,GUF000000023679,GUF000000023679,31.624747724928326,1,,,,0,1
32135,25215,GMW000000033708,1,2,104,136,2005-12-13,2023-06-09,4.892188399744061,52.35366611564544,3380,facility_point,GUF000000010274,GUF000000010274,46.646984571879614,1,,,,0,1
32138,25218,GMW000000033711,1,2,175,182,1990-02-22,2022-07-11,4.883178690564894,52.39090019569963,2756,facility_point,GUF000000001930,GUF000000001930,23.022004556432396,1,,,,0,1
32189,25268,GMW000000033761,1,2,179,212,1990-06-02,2025-02-28,4.925590769480441,52.34144294537609,3011,facility_point,GUF000000007837,GUF000000007837,24.41268744568506,1,,,,0,1
32219,25297,GMW000000033790,1,2,228,249,1977-02-23,2025-02-17,4.8374522101042015,52.37035756608906,7597,design_well,534330,,29.202187073170855,1,,,,0,1
32332,25405,GMW000000033898,1,2,183,207,1993-04-05,2023-02-10,4.831442709435874,52.34020251615472,2208,facility_point,GUF000000000007,GUF000000000007,34.88469636725103,1,,,,0,1
32804,25606,GMW000000034099,1,1,110,110,1992-03-20,2025-04-28,4.725302207018341,52.23224135708446,1227,facility_point,GUF000000002224,GUF000000002224,49.039297023153786,1,,,,0,1
33050,25692,GMW000000034185,2,1,648,648,1955-01-06,2025-04-28,4.623758021273553,52.42410603783539,7305,realised_well,523422,,42.29010685976075,1,,,,0,1
104122,78389,GMW000000093896,1,1,207,207,1990-03-16,2026-01-29,4.661111465822604,52.35903622856132,5706,facility_point,GUF000000088068,GUF000000088068,32.321002972332735,1,,,,0,1
104211,78478,GMW000000093985,1,1,207,207,1993-06-22,2026-01-29,4.664351916492882,52.389007165517434,6797,realised_well,532774,,45.27270313734271,1,,,,0,1
