site_id,model_family,rmse,mae,n
31854,Context-Aware Selective Learning,1.1344420909881592,0.8956455588340759,19
31854,Deep Context LSTM (No TL),1.1399513483047485,0.8994281888008118,19
31854,Site-Hard Expert Selector,1.1399513483047485,0.8994281888008118,19
31920,Deep Context LSTM (No TL),1.2505545616149902,0.9016330242156982,17
31920,Random Forest,1.3230826044750668,0.9753835928194869,17
31920,Context-Aware Selective Learning,1.3287326097488403,1.0054247379302979,17
31920,Deep Context LSTM (Always TL),1.36488938331604,1.033023476600647,17
31920,Site-Hard Expert Selector,1.36488938331604,1.033023476600647,17
31920,Baseline LSTM (TL),1.640695333480835,1.3334622383117676,17
31920,Baseline LSTM (No TL),1.6935856342315674,1.3954136371612549,17
31933,Deep Context LSTM (Always TL),0.9261255264282227,0.7024436593055725,33
31933,Site-Hard Expert Selector,0.9261255264282227,0.7024436593055725,33
31933,Context-Aware Selective Learning,0.937438428401947,0.7078104019165039,33
31933,Deep Context LSTM (No TL),0.9695630073547363,0.7457383871078491,33
31933,Random Forest,0.9956352184027681,0.7708063645781392,33
31933,Baseline LSTM (No TL),1.1759840250015259,1.0241963863372803,33
31933,Baseline LSTM (TL),1.229246973991394,1.0838382244110107,33
31939,Deep Context LSTM (No TL),1.6014243364334106,1.137973666191101,31
31939,Site-Hard Expert Selector,1.6014243364334106,1.137973666191101,31
31939,Context-Aware Selective Learning,1.634155511856079,1.1574056148529053,31
31939,Deep Context LSTM (Always TL),1.697695255279541,1.1931155920028687,31
31939,Random Forest,1.7612024028470286,1.2816234144457785,31
31939,Baseline LSTM (TL),1.827247977256775,1.2520493268966675,31
31939,Baseline LSTM (No TL),1.878308653831482,1.2825381755828857,31
31951,Deep Context LSTM (Always TL),2.374164581298828,2.0044314861297607,4
31951,Context-Aware Selective Learning,2.4276413917541504,2.0948596000671387,4
